"grav";"catv";"sexe";"an_nais";"trajet";"voiture";"PL";"moto";"jour";"mois";"lum";"dep";"com";"agg";"casque";"gilet"
4;1;2;1991;1;1;0;0;12;8;1;"75";"75108";2;1;0
4;1;1;2003;1;0;0;0;29;11;1;"75";"75114";2;0;0
4;1;2;1994;1;0;0;1;12;8;3;"75";"75102";2;0;0
3;80;1;1941;5;1;0;0;28;4;1;"76";"76351";2;1;0
4;1;2;1988;0;1;0;0;17;9;1;"94";"94069";2;1;0
4;80;1;1999;5;0;0;1;29;11;3;"75";"75108";2;0;0
4;1;2;1974;5;1;0;0;12;8;1;"93";"93001";2;0;0
4;1;1;1994;9;0;0;0;28;11;3;"75";"75103";2;0;0
4;1;1;2003;1;1;0;0;29;4;1;"59";"59041";2;0;1
4;1;1;2002;0;1;0;0;1;8;3;"92";"92023";2;0;0
4;1;1;2009;0;1;0;0;29;11;1;"93";"93071";2;0;0
2;1;1;2001;5;1;0;0;13;8;1;"35";"35165";1;1;0
4;1;1;1957;5;0;0;0;26;4;1;"56";"56121";2;0;0
4;1;2;1986;4;1;0;0;29;4;1;"49";"49015";2;0;0
4;1;1;2003;0;0;0;0;29;4;1;"38";"38185";2;0;0
4;1;1;2007;5;1;0;0;29;3;3;"37";"37214";2;0;0
4;1;1;1997;5;1;0;0;12;8;1;"62";"62044";1;1;0
2;1;2;1944;5;0;0;0;13;8;1;"89";"89380";2;1;0
4;80;2;1980;5;1;0;0;29;4;1;"75";"75117";2;1;0
4;1;1;1947;3;1;0;0;1;8;1;"25";"25315";2;0;0
3;1;2;1999;0;0;0;0;29;4;1;"75";"75111";2;0;0
4;1;1;1956;5;1;0;0;13;8;1;"44";"44019";1;1;0
3;1;1;1994;5;1;0;0;13;8;2;"66";"66218";1;1;0
4;1;1;1967;3;0;0;0;29;4;1;"93";"93077";2;0;0
2;1;2;1945;5;1;0;0;10;8;1;"72";"72310";1;0;0
4;80;1;1981;9;1;0;0;25;4;1;"92";"92024";2;0;0
4;1;1;1966;5;1;0;0;13;8;1;"16";"16393";1;1;0
4;1;1;2007;5;1;0;0;29;11;2;"53";"53062";2;0;0
4;1;1;1956;5;0;0;0;14;7;1;"73";"73116";1;1;0
3;1;1;2004;3;1;0;0;30;4;1;"85";"85280";1;0;0
3;1;1;1998;1;1;0;0;29;4;1;"78";"78442";2;0;0
4;1;1;1979;1;1;0;0;12;8;2;"988";"98818";2;0;0
3;1;1;1988;5;1;0;0;27;4;1;"67";"67348";2;1;0
2;1;1;1963;5;0;0;0;30;4;1;"22";"22390";1;1;0
3;1;2;1992;5;1;0;0;11;8;1;"69";"69202";2;1;0
4;1;1;1984;5;0;0;0;11;8;1;"76";"76212";2;1;0
4;1;2;1994;9;1;0;0;10;8;2;"75";"75117";2;0;0
4;1;1;1975;5;0;0;0;11;8;1;"75";"75110";2;0;0
4;80;1;1994;1;0;0;0;11;8;1;"75";"75110";2;0;0
4;1;2;1982;9;1;0;0;10;8;1;"92";"92012";2;1;0
4;1;1;1987;5;1;0;0;9;8;1;"55";"55013";1;1;0
3;1;1;1963;5;1;0;0;11;8;1;"52";"52550";2;1;0
3;1;1;1963;5;1;0;0;10;8;1;"13";"13058";1;1;0
4;1;1;1982;0;1;0;0;23;4;1;"44";"44109";2;0;0
4;1;2;1974;0;0;0;0;22;4;1;"44";"44109";2;0;0
4;1;2;2001;1;1;0;0;29;10;1;"2B";"2B313";2;0;0
